date,#2a,#americafirst,#amjoy,#as,#ask,#askthegays,#basementdwellers,#bigleagu,#bigleaguetrut,#bigleaguetruth,#blacklivesmatter,#cbn2016,#christ,#christianity,#christianvalues,#cnnrealitycheck,#foxnews,#gop,#guccifer2,#hannity,#hillary,#imwithher,#in,#indiana,#ingov,#isis,#j4jednation,#kaine,#kainewreck,#kellyfile,#kreepykaine,#lgbt,#lgbtq,#lockherup,#maga,#makeame,#makeamerica,#makeamericagreatagain,#manypeoplearesaying,#mediabias,#mikepence,#never,#neverhillary,#notmyticket,#obamacare,#paytoplay,#pe,#penc,#pence,#pencesgreatesthits,#pencewon,#prolife,#reprohealth,#resolve,#rfra,#rnc,#socialsecurity,#takeastand,#teampence,#thatmexicanthing,#thatmexicanthingagain,#thuglife,#tr,#tru,#trump,#trump's,#trump2016,#trumppence16,#trumppence2016,#trumptrain,#ttt16,#va,#vp,#vpd,#wearewithyou,#مايك_بينس
2016-10-04 22:20:00,0,0,0,0,0,0,512,21,218,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,200,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,39,0,0,52,0,0,0
2016-10-04 22:25:00,0,0,0,0,0,0,264,0,78,17,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,64,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
2016-10-04 22:30:00,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0
2016-10-04 22:35:00,95,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,309,0,0,0,0,0,0
2016-10-04 22:40:00,199,0,0,0,0,0,118,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,222,0,0,0,0,0,0
2016-10-04 22:45:00,65,0,0,0,0,0,168,0,103,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,116,0,0,0,0,0,0
2016-10-04 22:50:00,24,0,0,0,0,0,104,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,157,0,0,0,0,0,0
2016-10-04 22:55:00,0,0,0,0,0,0,96,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,587,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,131,0,0,0,0,0,0
2016-10-04 23:00:00,22,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,175,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,121,0,0,0,0,0,0
2016-10-04 23:05:00,0,0,0,0,0,0,45,0,62,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,76,0,0,14,0,0,0
2016-10-04 23:10:00,0,0,0,0,0,0,65,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,314,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,88,0,0,20,0,0,0
2016-10-04 23:15:00,0,0,0,0,0,0,30,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,276,0,0,0,0,0,0,0,0,28,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,15,0,51,0,0,0,0,0,0
2016-10-04 23:20:00,0,0,0,0,0,0,14,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,215,0,0,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,70,0,0,0,0,0,0
2016-10-04 23:25:00,11,0,0,0,0,0,35,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,254,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,88,0,0,0,0,0,0
2016-10-04 23:30:00,7,0,0,0,0,0,37,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,251,0,0,132,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,106,0,0,0,0,0,0
2016-10-04 23:35:00,0,0,0,0,0,0,63,9,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,36,0,0,0,0,0,0
