date,#2016debates,#2a,#aliciamachado,#apfactcheck,#benghazi,#blacklivesmatter,#bloomberg,#classact,#climatechange,#clinton,#constitution,#crookedhillary,#donaldtrump,#education,#elmorenomichael,#equalpay,#exposehillary,#fact,#factche,#factcheck,#foxnews,#hannity,#hillary,#hillaryclinton,#icymi,#imwithher,#isis,#itrus,#j4jednation,#jobs,#kellyfile,#lgbt,#lovetrumpshate,#lyinhillary,#maga,#makeamericagreatagain,#mesamvs,#micdrop,#misstrendingtopic,#mivoto2016,#momsdemandhillary,#nafta,#neverhillary,#nevertrump,#newrule,#nydebate,#out-woman-ed,#outgunned,#outnumbered,#outplanned,#paidfamilyleave,#pearlsbeforeswine,#periscope,#polls,#potus,#presidentialdebate,#rawtonight,#respect,#retweet,#rt,#scotus,#shesla,#shewon,#slipping,#smackhim,#sondeo,#stami,#stamina,#stopandfrisk,#strongertogether,#tax,#tertuliahillaryvstrump,#tntweeters,#tpp,#trump,#trumpedup,#trumpeduptrickledown,#trumpshate,#trumpwins,#tytlive,#uspresidentialdebate,#veterans,#warondrugs,#watchoutmeryl,#werewithher,#withherfirst
2016-09-27 00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:20:00,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,147,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:25:00,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,96,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,136,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,119,0,0,0,149,22,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,130,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:50:00,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,127,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:55:00,0,0,41,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,43,0,0,0,70,7,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 01:00:00,0,0,130,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,20,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
