date,#1uvote,#2a,#aliciamachado,#apfactcheck,#askaboutabortion,#benghazi,#birther,#birtherism,#blacklivesmatter,#boom,#bringbernieback,#bzbfam,#classact,#cleanenergy,#climatechange,#clinton,#constitution,#crookedhillary,#cybersecurity,#donaldtrump,#dwts,#economy,#education,#electingrecession,#elmorenomichael,#emails,#envivo,#equalpay,#fact,#factche,#factcheck,#fox,#foxnews,#foxnews2016,#hairspray,#hannity,#hillary,#hillaryclinton,#hillyes,#icymi,#implicitbias,#imwither,#imwithher,#iran,#isis,#itrus,#j4jednation,#jobs,#kellyfile,#lockherup,#lyinhillary,#maga,#makeamericagreatagain,#map,#micdrop,#misstrendingtopic,#mivoto2016,#nafta,#neverhillary,#nevertrump,#orei,#out-woman-ed,#outgunned,#outnumbered,#outplanned,#overit,#paidfamilyleave,#paidleave,#pearlsbeforeswine,#pinko,#polls,#potus,#rawtonight,#retweet,#rt,#scotus,#shesla,#sheslays,#sheswithus,#shewon,#slipping,#smackhim,#sn,#stami,#stamina,#stopandfrisk,#strength,#strongert,#strongertogether,#tax,#teamtru,#tertuliahillaryvstrump,#the411,#tpp,#trump,#trump's,#trump2016,#trumpedup,#trumpeduptrickledown,#trumpeduptrickledowneconomics,#trumpl,#trumpslies,#trumptrain,#trumpwins,#tytlive,#unafraid,#upwithro,#usa,#veterans,#votolatino,#warondrugs,#watchoutmeryl,#won,#wordsmatter
2016-09-26 22:30:00,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,136,119,0,0,0,0,0,176,0,162
2016-09-26 22:35:00,0,0,0,0,103,261,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,1501,0,772,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2016-09-26 22:40:00,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,1538,0,415,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,71,0,80,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:45:00,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,1159,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,76,0,0,65,0,0,0,0,0,66,0,0,0,0,81,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:50:00,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,914,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,108,0,78,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:55:00,0,0,0,0,0,63,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,769,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,87,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:00:00,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,164,0,0,0,0,0,0,56,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,56,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,52,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:05:00,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,49,0,141,0,0,0,0,0,0,0,0,0,0,0,0,49,53,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:10:00,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,43,0,116,0,0,0,0,0,0,0,0,0,0,0,0,55,46,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:15:00,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,132,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,48,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,60,52,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
