date,#1uvote,#aliciamachado,#am,#americafirst,#benghazi,#birther,#bloomberg,#cantinfleando,#centralpark5,#centralparkfive,#chelasfortheband,#climatechange,#clinton,#clintonvstrump,#constitution,#crookedhillary,#donaldtrump,#drink,#elmorenomichael,#factche,#foxnews,#hannity,#howarethosesniffles,#im,#imwithher,#isis,#kellyfile,#lawandorder,#leadright2016,#leavethecountry,#liberal,#lobotomy,#ma,#maga,#makeamericagreatagain,#mexico,#misstrendingtopic,#mivoto2016,#nafta,#namecalling,#nato,#nevertrump,#newversion,#onevote,#polls,#potus,#presidentialdebate,#publiced,#rawtonight,#slipping,#sniffles,#sondeo,#sosweet,#stamina,#stopandfrisk,#tactics,#taxreturns,#teamtrump,#tertuliahillaryvstrump,#thatawkwardmoment,#toxictrump,#tpp,#tr,#triggerwarning,#trump,#trump2016,#trumpeduptrickledown,#trumpiswi,#trumppence,#trumppence16,#trumptrain,#trumpwins,#uspresidentialdebate,#warofnorthernaggression,#whitesagainsttrump
2016-09-26 23:00:00,0,0,0,0,1040,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:05:00,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,116,0,0,0
2016-09-26 23:10:00,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
2016-09-26 23:15:00,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:20:00,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,119,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:25:00,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:30:00,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,36,24,0,0,0,0,0,0,0,255,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:35:00,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,243,31,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:40:00,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,61,0,159,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 23:45:00,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,211,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
